"label","peak_id","peaksum","peakmax","unixtime_ofmax","raw_peaksum","dayofanalysis","peakSNR"
"Calmig_0.8","Calmig_0.8_5",265457.158298613,57153.7376205576,1734018442,484023.107,"2024-12-12",331.011678817461
"Calmig_1","Calmig_1_1",332809.866650186,72764.1497743741,1734018527,549656.868,"2024-12-12",383.001567769442
"Calmig_1","Calmig_1_2",333797.614049259,70548.1854792065,1734018558,551549.224,"2024-12-12",384.138279268451
"Calmig_1","Calmig_1_3",333696.636404135,73143.8238834902,1734018611,552506.409,"2024-12-12",384.022072988928
"Calmig_1","Calmig_1_4",307373.066624334,63636.5532411129,1734018647,526614.844,"2024-12-12",353.728594624149
"Calmig_1","Calmig_1_5",333153.05488639,70495.2927242986,1734018690,552428.581,"2024-12-12",383.396512888794
"Calbaja_1","Calbaja_1_1",46701.6846077408,8623.25266450508,1734021261,264058.309,"2024-12-12",84.5169248398311
"Calbaja_1","Calbaja_1_2",43826.8698596572,8338.15943376685,1734021312,260391.232,"2024-12-12",79.3143180381067
"Calbaja_1","Calbaja_1_3",46993.6752616797,8827.31627325442,1734021384,262900.302,"2024-12-12",85.0453458670416
"Calbaja_1","Calbaja_1_4",44243.2416209538,8750.09455355523,1734021418,260042.593,"2024-12-12",80.0678339155424
"Calbaja_1","Calbaja_1_5",46043.9026726084,8406.88911890233,1734021457,261793.651,"2024-12-12",83.3265243898359
"Calbaja_0.2","Calbaja_0.2_1",9602.51252386736,784.026796088005,1734019999,228967.589,"2024-12-12",20.6203229965047
"Calbaja_0.2","Calbaja_0.2_10",17085.2595142427,2114.06157579305,1734020136,236364.734,"2024-12-12",36.6886862982087
"Calbaja_0.2","Calbaja_0.2_11",5474.98842907651,762.759244250488,1734020155,148034.811,"2024-12-12",11.7569260679512
"Calbaja_0.2","Calbaja_0.2_12",12081.8527975508,1995.35020720076,1734020198,231493.165,"2024-12-12",25.9444292795763
"Calbaja_0.2","Calbaja_0.2_13",12523.9407999239,2363.07702423772,1734020199,188093.697,"2024-12-12",26.8937638812397
"Calbaja_0.2","Calbaja_0.2_14",16672.0907092098,2136.42955015238,1734020249,236248.673,"2024-12-12",35.8014524424149
"Calbaja_0.2","Calbaja_0.2_15",2692.63341534837,760.829163352659,1734020269,57592.992,"2024-12-12",5.78212947889014
"Calbaja_0.2","Calbaja_0.2_16",7158.36478419451,849.770720827797,1734020271,193837.183,"2024-12-12",15.3717887490396
"Calbaja_0.2","Calbaja_0.2_17",5313.09762885196,1006.51526810622,1734020292,148086.893,"2024-12-12",11.4092836584781
"Calbaja_0.2","Calbaja_0.2_2",24930.8175289558,3851.54064425264,1734020034,244220.736,"2024-12-12",53.5361457468787
"Calbaja_0.2","Calbaja_0.2_3",2979.14920756329,810.413094390313,1734020053,57795.442,"2024-12-12",6.3973901374299
"Calbaja_0.2","Calbaja_0.2_4",3093.32674925059,623.17791142082,1734020058,90794.754,"2024-12-12",6.642573654003
"Calbaja_0.2","Calbaja_0.2_5",2401.96919573763,542.940013985686,1734020066,68174.635,"2024-12-12",5.15796053591784
"Calbaja_0.2","Calbaja_0.2_6",8922.96792967262,867.621903379539,1734020098,228140.933,"2024-12-12",19.1610768889891
"Calbaja_0.2","Calbaja_0.2_7",9550.5572404739,2749.10054603291,1734020113,152043.544,"2024-12-12",20.5087548290814
"Calbaja_0.2","Calbaja_0.2_8",8897.77915620618,2402.65118662362,1734020114,96590.246,"2024-12-12",19.1069868116814
"Calbaja_0.2","Calbaja_0.2_9",3724.64924169973,726.133331658955,1734020123,80459.826,"2024-12-12",7.99826818466911
"Calbaja_0.4","Calbaja_0.4_1",8474.87000550731,879.90798919257,1734020385,195205.295,"2024-12-12",17.0177650339889
"Calbaja_0.4","Calbaja_0.4_10",10303.1815863792,1538.93651004213,1734020601,228057.333,"2024-12-12",20.6890634576791
"Calbaja_0.4","Calbaja_0.4_11",19179.8255705915,3781.97376460989,1734020602,193300.355,"2024-12-12",38.5136013580281
"Calbaja_0.4","Calbaja_0.4_12",2692.17040390993,596.095439166749,1734020621,67968.649,"2024-12-12",5.40594998335383
"Calbaja_0.4","Calbaja_0.4_13",6784.2579436414,987.904715482851,1734020627,169930.935,"2024-12-12",13.6229709175286
"Calbaja_0.4","Calbaja_0.4_2",26714.3560180931,4100.39108608872,1734020424,245965.819,"2024-12-12",53.6431394764529
"Calbaja_0.4","Calbaja_0.4_3",4043.31555917325,635.862800772928,1734020441,102630.787,"2024-12-12",8.11908549624566
"Calbaja_0.4","Calbaja_0.4_4",24008.0984416969,3987.96334420808,1734020499,242418.531,"2024-12-12",48.2089020749783
"Calbaja_0.4","Calbaja_0.4_5",3546.98171212343,952.197810328978,1734020515,58118.677,"2024-12-12",7.1224338919118
"Calbaja_0.4","Calbaja_0.4_6",5214.00590305637,1247.54457251658,1734020530,125231.671,"2024-12-12",10.4698629343439
"Calbaja_0.4","Calbaja_0.4_7",21051.9731043643,3566.55182136125,1734020532,206435.692,"2024-12-12",42.2729235444456
"Calbaja_0.4","Calbaja_0.4_8",1629.37710567811,519.813557402484,1734020549,56133.444,"2024-12-12",3.27183269102322
"Calbaja_0.4","Calbaja_0.4_9",22495.165005519,3646.07023823695,1734020563,240388.49,"2024-12-12",45.1708913783882
"Calbaja_0.6","Calbaja_0.6_1",33956.1288451533,5570.33048570951,1734020769,251700.967,"2024-12-12",58.0419355657055
"Calbaja_0.6","Calbaja_0.6_2",31594.3824225708,5315.46586005583,1734020802,249060.355,"2024-12-12",54.0049520123923
"Calbaja_0.6","Calbaja_0.6_3",2415.69263577836,532.938437136205,1734020818,67623.118,"2024-12-12",4.12919496659319
"Calbaja_0.6","Calbaja_0.6_4",31314.4346544042,5298.87039340279,1734020837,248495.759,"2024-12-12",53.5264313189474
"Calbaja_0.6","Calbaja_0.6_5",2080.15922359214,723.158787127057,1734020856,56350.736,"2024-12-12",3.55566054578028
"Calbaja_0.6","Calbaja_0.6_6",29452.4374993784,4985.42384323585,1734020872,246354.338,"2024-12-12",50.3436798519479
"Calbaja_0.6","Calbaja_0.6_7",30898.1280215903,5257.15432591118,1734020900,247568.173,"2024-12-12",52.8148295086366
"Calbaja_0.6","Calbaja_0.6_8",2197.0296788392,819.682257282588,1734020917,67165.189,"2024-12-12",3.75542970862913
"Calbaja_0.8","Calbaja_0.8_1",39508.4029177089,6995.91046107202,1734020997,257455.957,"2024-12-12",67.7592875887764
"Calbaja_0.8","Calbaja_0.8_2",38052.7842493618,6825.25533031389,1734021031,256025.538,"2024-12-12",65.262814011407
"Calbaja_0.8","Calbaja_0.8_3",36874.8800956212,7101.87399159556,1734021067,254891.08,"2024-12-12",63.2426375322017
"Calbaja_0.8","Calbaja_0.8_4",35856.0488372359,6852.21828635532,1734021108,254004.784,"2024-12-12",61.4952806373873
"Calbaja_0.8","Calbaja_0.8_5",36451.6739285741,7101.77984491875,1734021140,254751.043,"2024-12-12",62.5168134982104
