"label","peak_id","peaksum","peakmax","unixtime_ofmax","raw_peaksum","dayofanalysis","peakSNR"
"Calmig_0.8","Calmig_0.8_4",1296.91201796464,263.874463608634,1734018413,671.8864039,"2024-12-12",917.044837534544
"Calmig_0.8","Calmig_0.8_5",1296.02659992608,272.205004361065,1734018442,671.15859852,"2024-12-12",916.418759566204
"Calmig_1","Calmig_1_1",1613.79460850336,341.92472568554,1734018527,991.9203931,"2024-12-12",1024.05049769795
"Calmig_1","Calmig_1_2",1621.07092721831,324.977839526665,1734018558,999.8647469,"2024-12-12",1028.66776296962
"Calmig_1","Calmig_1_3",1620.31766752793,342.687760152432,1734018611,1000.830179,"2024-12-12",1028.18977403797
"Calmig_1","Calmig_1_4",1488.884580233,298.06934632357,1734018646,871.37928593,"2024-12-12",944.787513459607
"Calmig_1","Calmig_1_5",1617.03740181546,329.274404421172,1734018690,1001.1491855,"2024-12-12",1026.10824661326
"Calbaja_1","Calbaja_1_1",173.942009751614,34.7416543786729,1734021261,-451.36632508,"2024-12-12",872.671687264418
"Calbaja_1","Calbaja_1_2",173.006058653542,36.0626687633916,1734021312,-451.4281939,"2024-12-12",867.975995722635
"Calbaja_1","Calbaja_1_3",172.540745614761,36.7396165836966,1734021384,-451.207437,"2024-12-12",865.641507836478
"Calbaja_1","Calbaja_1_4",172.082326263744,35.9573511859365,1734021418,-451.4929325,"2024-12-12",863.341605765105
"Calbaja_1","Calbaja_1_5",172.565920441851,36.3840196135546,1734021457,-450.9993647,"2024-12-12",865.767810613275
"Calbaja_0.2","Calbaja_0.2_1",75.9200449732616,15.5514848959448,1734020034,-548.9764316,"2024-12-12",372.349844764529
"Calbaja_0.2","Calbaja_0.2_2",48.0771404670731,9.35042951475054,1734020113,-577.00264,"2024-12-12",235.794325410922
"Calbaja_0.2","Calbaja_0.2_3",40.4417265255466,8.07769000377154,1734020136,-534.821945,"2024-12-12",198.346439324427
"Calbaja_0.2","Calbaja_0.2_4",42.4673763603283,7.54139327211567,1734020199,-583.555774,"2024-12-12",208.281238517366
"Calbaja_0.2","Calbaja_0.2_5",39.9883563678042,7.63432535534787,1734020249,-586.689556,"2024-12-12",196.122885480173
"Calbaja_0.4","Calbaja_0.4_1",75.7255094724842,14.5322661397882,1734020425,-551.1534,"2024-12-12",387.132031624489
"Calbaja_0.4","Calbaja_0.4_2",77.2075132688681,14.9438404169538,1734020499,-549.519372,"2024-12-12",394.708489604977
"Calbaja_0.4","Calbaja_0.4_3",73.727268029464,14.9594481552407,1734020532,-552.826907,"2024-12-12",376.916408449399
"Calbaja_0.4","Calbaja_0.4_4",72.1895697231423,14.1166558404237,1734020562,-554.22404,"2024-12-12",369.055223050994
"Calbaja_0.4","Calbaja_0.4_5",72.7559343538165,14.1263116260504,1734020602,-553.496706,"2024-12-12",371.950652763393
"Calbaja_0.6","Calbaja_0.6_1",110.993573275513,21.7692652291307,1734020769,-514.9996375,"2024-12-12",565.801572654454
"Calbaja_0.6","Calbaja_0.6_2",106.123055658276,21.479178046427,1734020802,-519.31932,"2024-12-12",540.97358986095
"Calbaja_0.6","Calbaja_0.6_3",105.431828952515,21.8666231898831,1734020837,-519.3799139,"2024-12-12",537.449988037544
"Calbaja_0.6","Calbaja_0.6_4",105.887549925196,21.2630038763362,1734020871,-518.2530578,"2024-12-12",539.773074279612
"Calbaja_0.6","Calbaja_0.6_5",105.501379697897,21.6964904220989,1734020900,-518.0959913,"2024-12-12",537.804530376841
"Calbaja_0.8","Calbaja_0.8_1",142.453307513143,28.7755013598278,1734020997,-481.4032644,"2024-12-12",682.932306678394
"Calbaja_0.8","Calbaja_0.8_2",137.139077478409,28.2920810734383,1734021031,-486.1793296,"2024-12-12",657.455471923222
"Calbaja_0.8","Calbaja_0.8_3",138.453981636308,28.6444325181327,1734021067,-484.6437704,"2024-12-12",663.759225379642
"Calbaja_0.8","Calbaja_0.8_4",140.484724909536,28.6166902123793,1734021108,-482.90191189,"2024-12-12",673.4947675869
"Calbaja_0.8","Calbaja_0.8_5",139.897668602017,29.5564250508496,1734021140,-484.07576583,"2024-12-12",670.680373697116
