"label","peak_id","peaksum","peakmax","unixtime_ofmax","raw_peaksum","dayofanalysis","peakSNR"
"CalBottle_0.2","CalBottle_0.2_1",265.188372515874,176.70775269862,1734011246,231.2082588,"2024-12-12",663.232114375467
"CalBottle_0.2","CalBottle_0.2_2",259.136990509163,174.582633021355,1734011311,224.855848216,"2024-12-12",648.097699374053
"CalBottle_0.2","CalBottle_0.2_3",254.317291232619,176.162157078473,1734011361,219.8576603,"2024-12-12",636.043704278003
"CalBottle_0.2","CalBottle_0.2_4",233.708815721726,161.600561698023,1734011418,198.9539256,"2024-12-12",584.502218286469
"CalBottle_0.2","CalBottle_0.2_5",232.955836061709,156.312733075347,1734011493,197.83120833,"2024-12-12",582.619027529433
"CalBottle_0.4","CalBottle_0.4_1",472.736758864841,243.368899383621,1734011672,439.63092548,"2024-12-12",831.851788485696
"CalBottle_0.4","CalBottle_0.4_2",508.274527504399,307.311548747974,1734011726,474.61789595,"2024-12-12",894.38586447461
"CalBottle_0.4","CalBottle_0.4_3",497.99444544171,260.236229608516,1734011766,464.15596791,"2024-12-12",876.296506096467
"CalBottle_0.4","CalBottle_0.4_4",472.605122654923,311.227729056042,1734011812,438.5348464,"2024-12-12",831.620154675553
"CalBottle_0.4","CalBottle_0.4_5",462.220084027841,302.533188920823,1734011856,427.881518247,"2024-12-12",813.3461093566
"CalBottle_0.6","CalBottle_0.6_1",659.220252467387,324.234904133516,1734012023,625.3174374,"2024-12-12",912.493770376872
"CalBottle_0.6","CalBottle_0.6_2",742.951401366452,411.989081568908,1734012090,710.26268669,"2024-12-12",1028.39456600765
"CalBottle_0.6","CalBottle_0.6_3",749.178880511571,435.874470344151,1734012141,717.2447116,"2024-12-12",1037.01465300256
"CalBottle_0.6","CalBottle_0.6_4",759.619416118967,481.216123029922,1734012190,728.022244116,"2024-12-12",1051.46645976288
"CalBottle_0.6","CalBottle_0.6_5",730.112007556385,455.235646410906,1734012235,698.27526518,"2024-12-12",1010.62225573161
"CalBottle2_0.8","CalBottle2_0.8_1",88.2523153485221,48.6770484002319,1734012998,53.8692527,"2024-12-12",227.681553177589
"CalBottle2_0.8","CalBottle2_0.8_2",72.1365094134633,39.9552942767036,1734013041,38.05114396,"2024-12-12",186.104494133729
"CalBottle2_0.8","CalBottle2_0.8_3",84.510504484666,45.8641713521068,1734013092,50.74975915,"2024-12-12",218.028080565396
"CalBottle2_0.8","CalBottle2_0.8_4",105.311831469874,61.9374876982017,1734013148,71.7459127,"2024-12-12",271.693283766509
"CalBottle2_0.8","CalBottle2_0.8_5",252.13689228529,152.515683312428,1734013201,218.62287489,"2024-12-12",650.486267948623
"CalBottle2_1","CalBottle2_1_1",1246.85892394585,805.100873576401,1734013706,1214.7823981,"2024-12-12",699.843601274663
"CalBottle2_1","CalBottle2_1_2",1220.15239531929,612.11873495422,1734013751,1188.4929563,"2024-12-12",684.853618997907
"CalBottle2_1","CalBottle2_1_3",1251.74177798126,797.077875672907,1734013795,1220.33393948,"2024-12-12",702.584275529795
"CalBottle2_1","CalBottle2_1_4",1231.35999217247,777.788484420165,1734013852,1200.01555854,"2024-12-12",691.144278504552
"CalBottle2_1","CalBottle2_1_5",1256.97364785018,832.869137339957,1734013901,1225.636520075,"2024-12-12",705.520847246244
"Calmig_0.2","Calmig_0.2_1",129.519293861569,66.8351528743196,1734017387,97.8879689,"2024-12-12",292.277251965725
"Calmig_0.2","Calmig_0.2_2",163.173294499418,104.092681962385,1734017426,131.01118858,"2024-12-12",368.221912647681
"Calmig_0.2","Calmig_0.2_3",130.900315894752,81.5920680717666,1734017466,98.23219289,"2024-12-12",295.393709079787
"Calmig_0.2","Calmig_0.2_4",131.247354647515,71.6580255835178,1734017503,98.2248261,"2024-12-12",296.176847483023
"Calmig_0.2","Calmig_0.2_5",80.0868528880535,51.9887390703372,1734017544,46.75524892,"2024-12-12",180.726473892931
"Calmig_0.4","Calmig_0.4_1",170.367528817597,114.321748972068,1734017631,139.4186809,"2024-12-12",264.315641606708
"Calmig_0.4","Calmig_0.4_2",228.546843852207,126.454440405421,1734017675,197.634767913,"2024-12-12",354.577577600835
"Calmig_0.4","Calmig_0.4_3",256.882701401711,166.674927314376,1734017702,225.9085228,"2024-12-12",398.539067332204
"Calmig_0.4","Calmig_0.4_4",250.921592553962,126.868816319436,1734017759,219.798452168,"2024-12-12",389.290742133644
"Calmig_0.4","Calmig_0.4_5",256.147408443824,165.120245358942,1734017790,225.05558397,"2024-12-12",397.398301651785
"Calmig_0.6","Calmig_0.6_1",393.86612728712,244.948197163341,1734018015,362.23727919,"2024-12-12",787.991646907846
"Calmig_0.6","Calmig_0.6_2",399.595026796681,212.90079890603,1734018053,368.93688055,"2024-12-12",799.453218865308
"Calmig_0.6","Calmig_0.6_3",392.33581992214,242.002110090543,1734018087,362.436939551,"2024-12-12",784.930024348141
"Calmig_0.6","Calmig_0.6_4",391.095263337387,209.886354732666,1734018126,361.81417231,"2024-12-12",782.448094172943
"Calmig_0.6","Calmig_0.6_5",389.809988517181,228.697687847615,1734018167,360.8822799,"2024-12-12",779.876698076308
"Calmig_0.8","Calmig_0.8_1",515.66064812469,299.520626260987,1734018288,486.22024525,"2024-12-12",728.690063529854
"Calmig_0.8","Calmig_0.8_2",516.702107156714,296.402821217291,1734018322,487.59635058,"2024-12-12",730.161769487967
"Calmig_0.8","Calmig_0.8_3",517.444549344238,303.402044288576,1734018365,488.33901237,"2024-12-12",731.210928943437
"Calmig_0.8","Calmig_0.8_4",520.606402422206,329.874721774777,1734018419,491.41764899,"2024-12-12",735.67900485467
"Calmig_0.8","Calmig_0.8_5",519.763908570959,299.303114996455,1734018449,490.69630868,"2024-12-12",734.488460452608
